ID,Date,City,Street,SKU,Units,Cost_Per_Unit
POS-00000,2023-05-10,Pokhara-Lakeside,Baidam Street 6,Solar-Battery,3,2658.370481416014
POS-00001,2023-08-21,Biratnagar-Main,Hospital Rd,Drone-HD,3,4929.476412806122
POS-00002,2023-08-14,Butwal-Chowk,Traffic Chowk E,Drone-HD,9,1407.0563984671614
POS-00003,2023-12-06,Pokhara-Lakeside,Baidam Street 6,VR-Headset,1,792.3358011874482
POS-00004,2023-07-04,Pokhara-Lakeside,Baidam Street 6,4K-TV,1,1093.7110019573006
POS-00005,2023-12-10,Pokhara-Lakeside,Baidam Street 6,Smart-Hub,7,3549.9108285440016
POS-00006,2023-06-03,Lalitpur-Patan,Pulchowk Rd,VR-Headset,1,3599.621567800558
POS-00007,2023-01-07,Biratnagar-Main,Hospital Rd,4K-TV,8,4609.518561989595
POS-00008,2023-09-17,Butwal-Chowk,Traffic Chowk E,Smart-Hub,8,4739.505463881865
POS-00009,2023-12-24,Lalitpur-Patan,Pulchowk Rd,Drone-HD,8,2487.4732643791745
POS-00010,2023-07-22,Biratnagar-Main,Hospital Rd,Gaming-Console,1,3431.4848384574716
POS-00011,2023-02-21,Butwal-Chowk,Traffic Chowk E,Smart-Hub,5,2804.8394497714667
POS-00012,2023-01-31,Pokhara-Lakeside,Baidam Street 6,Gaming-Console,7,3343.8545878703726
POS-00013,2023-06-27,Lalitpur-Patan,Pulchowk Rd,Smart-Hub,1,2479.026514011442
POS-00014,2023-08-09,Biratnagar-Main,Hospital Rd,4K-TV,4,4987.908647910943
POS-00015,2023-03-04,Biratnagar-Main,Hospital Rd,Drone-HD,3,1784.3946036534455
POS-00016,2023-10-26,Biratnagar-Main,Hospital Rd,Gaming-Console,8,2962.606752475464
POS-00017,2023-12-21,Lalitpur-Patan,Pulchowk Rd,VR-Headset,6,2642.9926631287713
POS-00018,2023-02-28,Lalitpur-Patan,Pulchowk Rd,Solar-Battery,9,2114.725411142881
POS-00019,2023-02-13,Biratnagar-Main,Hospital Rd,Drone-HD,7,914.1198151591012
POS-00020,2023-03-22,Biratnagar-Main,Hospital Rd,VR-Headset,1,1372.8083185728606
POS-00021,2023-03-12,Pokhara-Lakeside,Baidam Street 6,Solar-Battery,9,2081.8739282658125
POS-00022,2023-04-08,Biratnagar-Main,Hospital Rd,Drone-HD,6,3826.77659361801
